Country Name,k=1/5,k=1/3,k=1/2
Benin,0.7986,0.7986,0.7986
Lesotho,0.7986,0.7986,0.7986
Burundi,0.7652,0.7652,0.7652
Central African Republic,0.7609,0.7609,0.7609
Uganda,0.7594,0.7594,0.7594
Djibouti,0.758,0.758,0.758
Togo,0.7551,0.7551,0.7551
Sierra Leone,0.7449,0.7449,0.7449
Guinea-Bissau,0.7319,0.7319,0.7319
"Gambia, The",0.7304,0.7304,0.7304
Liberia,0.7246,0.7246,0.7246
Niger,0.7217,0.7217,0.7217
Mauritania,0.713,0.713,0.713
Guinea,0.713,0.713,0.713
Malawi,0.7101,0.7101,0.7101
Tanzania,0.7043,0.7043,0.7043
"Congo, Dem. Rep.",0.7014,0.7014,0.7014
Rwanda,0.6913,0.6913,0.6913
Zambia,0.687,0.687,0.687
"Congo, Rep.",0.6841,0.6841,0.6841
Sao Tome and Principe,0.6826,0.6826,0.6826
Chad,0.6768,0.6768,0.6768
Madagascar,0.6768,0.6768,0.6768
Ethiopia,0.6754,0.6754,0.6754
South Sudan,0.671,0.671,0.671
Senegal,0.6638,0.6638,0.6638
Sudan,0.6638,0.6638,0.6638
"Somalia, Fed. Rep.",0.6565,0.6565,0.6565
Botswana,0.6551,0.6551,0.6551
Mali,0.6551,0.6551,0.6551
Eswatini,0.6551,0.6551,0.6551
Mozambique,0.6522,0.6522,0.6522
Namibia,0.6507,0.6507,0.6507
Ghana,0.6348,0.6348,0.5217
Cote d'Ivoire,0.6333,0.6333,0.6333
Kenya,0.6232,0.6232,0.6232
Cameroon,0.6072,0.6072,0.6072
Zimbabwe,0.6029,0.6029,0.6029
Burkina Faso,0.6,0.6,0.6
Eritrea,0.5826,0.5826,0.5826
Comoros,0.5783,0.5783,0.5391
Cabo Verde,0.5464,0.5464,0.5464
Equatorial Guinea,0.542,0.542,0.542
Nigeria,0.5101,0.5101,0.3594
Angola,0.5101,0.5101,0.3072
Libya,0.5058,0.5058,0.3203
Seychelles,0.3667,0.3551,0.0
Morocco,0.3536,0.3536,0.0
Tunisia,0.342,0.342,0.0
South Africa,0.387,0.3275,0.0928
"Egypt, Arab Rep.",0.3319,0.2971,0.0
Gabon,0.3493,0.2188,0.0
Mauritius,0.1391,0.0725,0.0
Algeria,0.271,0.0159,0.0
